local_id,provider,remote_id,concept,label,language,semantic_category,source_url,image_url,local_raw_path,local_normalized_path,local_category_path,file_format,license,author,attribution,download_date,last_checked,status
picto_000055,arasaac,7078,dirección,Dirección,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/7078?download=false,pictograms/arasaac/raw/direccion__arasaac__7078.png,pictograms/arasaac/normalized/direccion__arasaac__7078.png,pictograms/arasaac/by_category/comunicacion_basica/direccion__arasaac__7078.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:57.903Z,2026-06-18T22:46:26.388Z,active
picto_000056,arasaac,32540,correo electrónico,Correo electrónico,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/32540?download=false,pictograms/arasaac/raw/correo_electronico__arasaac__32540.png,pictograms/arasaac/normalized/correo_electronico__arasaac__32540.png,pictograms/arasaac/by_category/comunicacion_basica/correo_electronico__arasaac__32540.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:58.381Z,2026-06-18T22:46:26.390Z,active
picto_000057,arasaac,16873,recibo,Recibo,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/16873?download=false,pictograms/arasaac/raw/recibo__arasaac__16873.png,pictograms/arasaac/normalized/recibo__arasaac__16873.png,pictograms/arasaac/by_category/comunicacion_basica/recibo__arasaac__16873.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:58.963Z,2026-06-18T22:46:26.392Z,active
picto_000058,arasaac,2819,pago,Pago,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/2819?download=false,pictograms/arasaac/raw/pago__arasaac__2819.png,pictograms/arasaac/normalized/pago__arasaac__2819.png,pictograms/arasaac/by_category/comunicacion_basica/pago__arasaac__2819.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:59.573Z,2026-06-18T22:46:26.394Z,active
picto_000059,arasaac,8687,emergencia,Emergencia,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/8687?download=false,pictograms/arasaac/raw/emergencia__arasaac__8687.png,pictograms/arasaac/normalized/emergencia__arasaac__8687.png,pictograms/arasaac/by_category/urgencias/emergencia__arasaac__8687.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:00.210Z,2026-06-18T22:46:26.396Z,active
picto_000060,arasaac,8687,salida de emergencia,Salida de emergencia,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/8687?download=false,pictograms/arasaac/raw/salida_de_emergencia__arasaac__8687.png,pictograms/arasaac/normalized/salida_de_emergencia__arasaac__8687.png,pictograms/arasaac/by_category/urgencias/salida_de_emergencia__arasaac__8687.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:00.648Z,2026-06-18T22:46:26.398Z,active
picto_000061,arasaac,37863,evacuar,Evacuar,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/37863?download=false,pictograms/arasaac/raw/evacuar__arasaac__37863.png,pictograms/arasaac/normalized/evacuar__arasaac__37863.png,pictograms/arasaac/by_category/urgencias/evacuar__arasaac__37863.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:01.254Z,2026-06-18T22:46:26.400Z,active
picto_000062,arasaac,6891,alarma,Alarma,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/6891?download=false,pictograms/arasaac/raw/alarma__arasaac__6891.png,pictograms/arasaac/normalized/alarma__arasaac__6891.png,pictograms/arasaac/by_category/urgencias/alarma__arasaac__6891.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:01.850Z,2026-06-18T22:46:26.402Z,active
picto_000063,arasaac,4668,incendio,Incendio,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/4668?download=false,pictograms/arasaac/raw/incendio__arasaac__4668.png,pictograms/arasaac/normalized/incendio__arasaac__4668.png,pictograms/arasaac/by_category/urgencias/incendio__arasaac__4668.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:02.461Z,2026-06-18T22:46:26.405Z,active
picto_000064,arasaac,8656,riesgo,Riesgo,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/8656?download=false,pictograms/arasaac/raw/riesgo__arasaac__8656.png,pictograms/arasaac/normalized/riesgo__arasaac__8656.png,pictograms/arasaac/by_category/urgencias/riesgo__arasaac__8656.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:03.139Z,2026-06-18T22:46:26.407Z,active
